ID,timestamp,logical_time,level,event
57287,11/25/2016 9:27,0:00:00,1,Game started
56965,11/25/2016 9:27,0:00:00,1,Game started
56965,11/25/2016 9:27,0:00:00,1,Game started
56919,11/25/2016 9:27,0:00:00,1,Game started
57057,11/25/2016 9:27,0:00:00,1,Game started
57103,11/25/2016 9:28,0:00:00,1,Game started
57011,11/25/2016 9:28,0:00:00,1,Game started
56988,11/25/2016 9:28,0:00:00,1,Game started
56942,11/25/2016 9:28,0:00:00,1,Game started
57218,11/25/2016 9:29,0:00:00,1,Game started
57195,11/25/2016 9:29,0:00:00,1,Game started
57241,11/25/2016 9:29,0:00:00,1,Game started
57172,11/25/2016 9:30,0:00:00,1,Game started
57149,11/25/2016 9:30,0:00:00,1,Game started
56896,11/25/2016 9:30,0:00:00,1,Game started
57126,11/25/2016 9:31,0:00:00,1,Game started
56385,11/25/2016 9:31,0:00:00,1,Game started
57241,11/25/2016 9:31,0:02:13,1,Hint 1 taken
57218,11/25/2016 9:32,0:02:41,1,Hint 2 taken
57080,11/25/2016 9:32,0:00:00,1,Game started
57287,11/25/2016 9:33,0:05:32,1,Wrong flag submited:d94076d1363996a077791dc96a43e9acaca76de2
57172,11/25/2016 9:33,0:03:11,1,Hint 1 taken
57149,11/25/2016 9:33,0:03:09,1,Hint 1 taken
57172,11/25/2016 9:33,0:03:19,1,Hint 2 taken
57149,11/25/2016 9:33,0:03:44,1,Hint 2 taken
57264,11/25/2016 9:34,0:00:00,1,Game started
56919,11/25/2016 9:34,0:06:40,1,Wrong flag submited:03e3
57057,11/25/2016 9:34,0:06:34,1,Wrong flag submited:d94076d1363996a077791dc96a43e9acaca76de2
57057,11/25/2016 9:34,0:06:47,1,Wrong flag submited:d94076d1363996a077791dc96a43e9acaca76de2
56919,11/25/2016 9:34,0:07:01,1,Wrong flag submited:c2df
56919,11/25/2016 9:35,0:07:14,1,Wrong flag submited:c2df
56919,11/25/2016 9:35,0:07:47,1,Hint 1 taken
56919,11/25/2016 9:35,0:07:48,1,Hint 2 taken
57057,11/25/2016 9:36,0:08:30,1,Wrong flag submited:ab0f735fd9be1c2a3c424252b857d2e2dd18451c
56919,11/25/2016 9:36,0:08:44,1,Correct flag submited
57057,11/25/2016 9:36,0:08:46,1,Wrong flag submited:ab0f735fd9be1c2a3c424252b857d2e2dd18451c  -
57287,11/25/2016 9:36,0:09:27,1,Wrong flag submited:ab0f
57057,11/25/2016 9:36,0:08:59,1,Wrong flag submited:ab0f
57057,11/25/2016 9:37,0:09:07,1,Wrong flag submited:d940
57057,11/25/2016 9:38,0:10:13,1,Wrong flag submited:6dae
57034,11/25/2016 9:38,0:00:00,1,Game started
56965,11/25/2016 9:39,0:11:55,1,Wrong flag submited:d940
56988,11/25/2016 9:40,0:12:06,1,Wrong flag submited:d940
56896,11/25/2016 9:41,0:10:09,1,Wrong flag submited:ba78
56919,11/25/2016 9:41,0:04:42,2,Hint 1 taken
56919,11/25/2016 9:41,0:04:49,2,Hint 2 taken
57195,11/25/2016 9:41,0:11:59,1,Wrong flag submited:c2df
56896,11/25/2016 9:41,0:10:35,1,Wrong flag submited:ba78
57126,11/25/2016 9:41,0:10:34,1,Wrong flag submited:74df12870026ffa278264c600c21e4ea3b242c52
57287,11/25/2016 9:41,0:14:10,1,Wrong flag submited:6875
57057,11/25/2016 9:41,0:13:56,1,Wrong flag submited:6875
57080,11/25/2016 9:42,0:09:26,1,Correct flag submited
57103,11/25/2016 9:42,0:14:19,1,Correct flag submited
56965,11/25/2016 9:43,0:15:44,1,Correct flag submited
56896,11/25/2016 9:43,0:12:43,1,Correct flag submited
56919,11/25/2016 9:44,0:07:46,2,Correct flag submited
57218,11/25/2016 9:44,0:15:17,1,Correct flag submited
56965,11/25/2016 9:44,0:17:02,1,Correct flag submited
57241,11/25/2016 9:44,0:15:00,1,Correct flag submited
57287,11/25/2016 9:44,0:17:20,1,Wrong flag submited:483a
57287,11/25/2016 9:44,0:17:25,1,Wrong flag submited:483a
57218,11/25/2016 9:45,0:00:34,2,Hint 2 taken
57241,11/25/2016 9:45,0:00:35,2,Hint 1 taken
57172,11/25/2016 9:45,0:15:21,1,Wrong flag submited:e9cf
56988,11/25/2016 9:45,0:17:01,1,Correct flag submited
57172,11/25/2016 9:45,0:15:39,1,Wrong flag submited:e9cf
56896,11/25/2016 9:45,0:02:09,2,Hint 1 taken
57195,11/25/2016 9:45,0:16:19,1,Correct flag submited
57172,11/25/2016 9:46,0:16:31,1,Wrong flag submited:ba78
57287,11/25/2016 9:46,0:19:22,1,Wrong flag submited:89f7
57172,11/25/2016 9:46,0:16:58,1,Wrong flag submited:f4b0
57126,11/25/2016 9:47,0:16:03,1,Correct flag submited
57287,11/25/2016 9:47,0:19:52,1,Wrong flag submited:4afa
56896,11/25/2016 9:47,0:03:53,2,Wrong flag submited:3cad
56942,11/25/2016 9:47,0:19:17,1,Wrong flag submited:74df12870026ffa278264c600c21e4ea3b242c52
56385,11/25/2016 9:48,0:17:28,1,Wrong flag submited:8ada
56942,11/25/2016 9:48,0:19:56,1,Correct flag submited
56896,11/25/2016 9:48,0:05:09,2,Wrong flag submited:5c54
57011,11/25/2016 9:48,0:20:25,1,Wrong flag submited:697b
56385,11/25/2016 9:48,0:17:45,1,Wrong flag submited:3f03
56896,11/25/2016 9:48,0:05:23,2,Wrong flag submited:5c54
57172,11/25/2016 9:49,0:19:09,1,Correct flag submited
57149,11/25/2016 9:49,0:19:09,1,Correct flag submited
56385,11/25/2016 9:49,0:18:44,1,Correct flag submited
57011,11/25/2016 9:49,0:21:35,1,Correct flag submited
57287,11/25/2016 9:50,0:22:31,1,Wrong flag submited:9ea1
56896,11/25/2016 9:50,0:07:02,2,Hint 2 taken
57172,11/25/2016 9:50,0:01:30,2,Hint 1 taken
57149,11/25/2016 9:50,0:01:29,2,Hint 1 taken
57172,11/25/2016 9:50,0:01:32,2,Hint 2 taken
57103,11/25/2016 9:50,0:08:12,2,Wrong flag submited:d664
57149,11/25/2016 9:50,0:01:34,2,Hint 2 taken
57103,11/25/2016 9:51,0:08:58,2,Wrong flag submited:e0f7
57103,11/25/2016 9:51,0:09:17,2,Wrong flag submited:f7b4
57126,11/25/2016 9:53,0:05:56,2,Correct flag submited
57195,11/25/2016 9:53,0:07:20,2,Correct flag submited
56873,11/25/2016 9:53,0:00:00,1,Game started
56942,11/25/2016 9:53,0:04:39,2,Wrong flag submited:3cad
57264,11/25/2016 9:53,0:18:57,1,Wrong flag submited:e9cfa2367e2a9b306df6517cccb53bee8494170d
57034,11/25/2016 9:53,0:15:20,1,Wrong flag submited:d940
57287,11/25/2016 9:53,0:26:30,1,Correct flag submited
57218,11/25/2016 9:54,0:09:21,2,Correct flag submited
57241,11/25/2016 9:54,0:09:31,2,Correct flag submited
57172,11/25/2016 9:54,0:05:13,2,Correct flag submited
57264,11/25/2016 9:54,0:20:07,1,Wrong flag submited:ba78d8319c9c43577312062c609cd14b998b0a3c
57149,11/25/2016 9:54,0:05:17,2,Correct flag submited
57103,11/25/2016 9:54,0:11:58,2,Wrong flag submited:afa7
57103,11/25/2016 9:54,0:12:17,2,Wrong flag submited:1a69
56896,11/25/2016 9:54,0:11:18,2,Wrong flag submited:3083
57011,11/25/2016 9:54,0:04:58,2,Correct flag submited
56896,11/25/2016 9:55,0:11:49,2,Wrong flag submited:af67
57080,11/25/2016 9:55,0:13:20,2,Wrong flag submited:d498
56942,11/25/2016 9:55,0:06:55,2,Wrong flag submited:7626
56965,11/25/2016 9:55,0:12:12,2,Wrong flag submited:25f0
57057,11/25/2016 9:55,0:27:44,1,Correct flag submited
56965,11/25/2016 9:56,0:12:33,2,Wrong flag submited:25f0
56896,11/25/2016 9:56,0:12:28,2,Wrong flag submited:4dfa
56896,11/25/2016 9:56,0:12:36,2,Wrong flag submited:4df1
57264,11/25/2016 9:56,0:21:52,1,Wrong flag submited:74df12870026ffa278264c600c21e4ea3b242c52
57103,11/25/2016 9:56,0:13:48,2,Hint 1 taken
57264,11/25/2016 9:56,0:22:09,1,Correct flag submited
57080,11/25/2016 9:56,0:14:31,2,Wrong flag submited:e6ff
57287,11/25/2016 9:56,0:02:44,2,Wrong flag submited:7626
56873,11/25/2016 9:56,0:03:44,1,Wrong flag submited:7c16c0ad9cd56861d689ed0fecd66917936dfd9e
56873,11/25/2016 9:57,0:04:25,1,Wrong flag submited:7c16
56942,11/25/2016 9:57,0:09:00,2,Wrong flag submited:7c32
56873,11/25/2016 9:58,0:04:59,1,Wrong flag submited:ba78
56942,11/25/2016 9:58,0:10:11,2,Wrong flag submited:b9e3
57034,11/25/2016 9:59,0:20:53,1,Wrong flag submited:da39
56385,11/25/2016 9:59,0:09:42,2,Correct flag submited
56873,11/25/2016 9:59,0:06:24,1,Correct flag submited
56896,11/25/2016 10:00,0:16:45,2,Correct flag submited
56965,11/25/2016 10:01,0:17:45,2,Correct flag submited
56965,11/25/2016 10:01,0:16:32,2,Correct flag submited
57218,11/25/2016 10:01,0:07:19,3,Wrong flag submited:8e29
56942,11/25/2016 10:02,0:13:35,2,Wrong flag submited:58e8
57218,11/25/2016 10:02,0:08:16,3,Wrong flag submited:a87c
57241,11/25/2016 10:02,0:08:23,3,Wrong flag submited:e0a6
56942,11/25/2016 10:02,0:14:05,2,Wrong flag submited:d90f
57218,11/25/2016 10:02,0:08:41,3,Wrong flag submited:c384
56988,11/25/2016 10:02,0:17:42,2,Correct flag submited
57034,11/25/2016 10:03,0:25:01,1,Correct flag submited
56942,11/25/2016 10:03,0:14:53,2,Wrong flag submited:3498
57287,11/25/2016 10:04,0:10:07,2,Wrong flag submited:3cad
56942,11/25/2016 10:04,0:15:42,2,Wrong flag submited:c39f
57172,11/25/2016 10:04,0:10:01,3,Wrong flag submited:8e29
56873,11/25/2016 10:04,0:05:13,2,Wrong flag submited:d664
56942,11/25/2016 10:04,0:16:14,2,Correct flag submited
56919,11/25/2016 10:04,0:20:36,3,Wrong flag submited:0902
57241,11/25/2016 10:05,0:10:46,3,Hint 2 taken
57218,11/25/2016 10:05,0:10:59,3,Hint 3 taken
56873,11/25/2016 10:05,0:05:32,2,Wrong flag submited:e0f7
57080,11/25/2016 10:05,0:23:15,2,Correct flag submited
56873,11/25/2016 10:05,0:05:53,2,Wrong flag submited:f7b4
57287,11/25/2016 10:05,0:11:32,2,Correct flag submited
56873,11/25/2016 10:06,0:07:21,2,Wrong flag submited:b897
57264,11/25/2016 10:06,0:10:29,2,Correct flag submited
57011,11/25/2016 10:07,0:12:05,3,Wrong flag submited:ls
56873,11/25/2016 10:07,0:07:46,2,Wrong flag submited:14f5
56873,11/25/2016 10:07,0:07:59,2,Wrong flag submited:afa7
56873,11/25/2016 10:08,0:08:29,2,Wrong flag submited:2d5f
57241,11/25/2016 10:08,0:14:24,3,Hint 1 taken
56873,11/25/2016 10:08,0:09:09,2,Wrong flag submited:d498
57126,11/25/2016 10:09,0:15:59,3,Wrong flag submited:da39
57195,11/25/2016 10:09,0:16:12,3,Correct flag submited
56873,11/25/2016 10:09,0:09:55,2,Wrong flag submited:29b3
56873,11/25/2016 10:10,0:10:45,2,Hint 2 taken
57011,11/25/2016 10:10,0:15:32,3,Correct flag submited
56919,11/25/2016 10:10,0:26:15,3,Wrong flag submited:9098
56873,11/25/2016 10:11,0:11:40,2,Hint 1 taken
56896,11/25/2016 10:11,0:11:16,3,Hint 1 taken
56919,11/25/2016 10:11,0:27:16,3,Wrong flag submited:dd24
57126,11/25/2016 10:11,0:18:37,3,Correct flag submited
